year	source	source_id	source_name
2015	US_CENSUS_ACS1	DP02PR_0001E	Estimate!!HOUSEHOLDS BY TYPE!!Total households
2015	US_CENSUS_ACS1	DP02PR_0001PE	Percent!!HOUSEHOLDS BY TYPE!!Total households
2015	US_CENSUS_ACS1	DP02PR_0002E	Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)
2015	US_CENSUS_ACS1	DP02PR_0002PE	Percent!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)
2015	US_CENSUS_ACS1	DP02PR_0003E	Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years
2015	US_CENSUS_ACS1	DP02PR_0003PE	Percent!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years
2015	US_CENSUS_ACS1	DP02PR_0004E	Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family
2015	US_CENSUS_ACS1	DP02PR_0004PE	Percent!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family
2015	US_CENSUS_ACS1	DP02PR_0005E	Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years
2015	US_CENSUS_ACS1	DP02PR_0005PE	Percent!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years
2015	US_CENSUS_ACS1	DP02PR_0006E	Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family
2015	US_CENSUS_ACS1	DP02PR_0006PE	Percent!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family
2015	US_CENSUS_ACS1	DP02PR_0007E	Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years
2015	US_CENSUS_ACS1	DP02PR_0007PE	Percent!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years
2015	US_CENSUS_ACS1	DP02PR_0008E	Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family
2015	US_CENSUS_ACS1	DP02PR_0008PE	Percent!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family
2015	US_CENSUS_ACS1	DP02PR_0009E	Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years
2015	US_CENSUS_ACS1	DP02PR_0009PE	Percent!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years
2015	US_CENSUS_ACS1	DP02PR_0010E	Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households
2015	US_CENSUS_ACS1	DP02PR_0010PE	Percent!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households
2015	US_CENSUS_ACS1	DP02PR_0011E	Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone
2015	US_CENSUS_ACS1	DP02PR_0011PE	Percent!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone
2015	US_CENSUS_ACS1	DP02PR_0012E	Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over
2015	US_CENSUS_ACS1	DP02PR_0012PE	Percent!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over
2015	US_CENSUS_ACS1	DP02PR_0013E	Estimate!!HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years
2015	US_CENSUS_ACS1	DP02PR_0013PE	Percent!!HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years
2015	US_CENSUS_ACS1	DP02PR_0014E	Estimate!!HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over
2015	US_CENSUS_ACS1	DP02PR_0014PE	Percent!!HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over
2015	US_CENSUS_ACS1	DP02PR_0015E	Estimate!!HOUSEHOLDS BY TYPE!!Average household size
2015	US_CENSUS_ACS1	DP02PR_0015PE	Percent!!HOUSEHOLDS BY TYPE!!Average household size
2015	US_CENSUS_ACS1	DP02PR_0016E	Estimate!!HOUSEHOLDS BY TYPE!!Average family size
2015	US_CENSUS_ACS1	DP02PR_0016PE	Percent!!HOUSEHOLDS BY TYPE!!Average family size
2015	US_CENSUS_ACS1	DP02PR_0017E	Estimate!!RELATIONSHIP!!Population in households
