NAME,B26001_001E,B02014_001E,B16005_007E,B16005_008E,B16005_012E,B16005_013E,B16005_017E,B16005_022E,B16005_023E,B16005_029E,B16005_030E,B16005_034E,B16005_035E,B16005_039E,B16005_040E,B16005_044E,B16005_045E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,state,county,tract,YEAR
"Census Tract 13.01, Santa Fe County, New Mexico",0,69,17,0,0,0,0,0,0,9,7,0,0,0,0,0,0,68,13,0,66,17,0,0,0,10,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,35,049,001301,2020
"Census Tract 13.02, Santa Fe County, New Mexico",0,130,0,0,6,0,0,0,0,153,29,0,0,0,0,8,0,32,33,12,16,20,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,35,049,001302,2020
"Census Tract 13.04, Santa Fe County, New Mexico",16,36,0,0,0,0,0,0,0,18,16,0,0,0,0,0,0,27,9,10,37,20,6,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,049,001304,2020
"Census Tract 13.05, Santa Fe County, New Mexico",0,123,0,0,0,0,0,0,0,22,58,0,0,4,0,0,0,184,45,0,219,55,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,35,049,001305,2020
"Census Tract 13.06, Santa Fe County, New Mexico",0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,18,0,0,78,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,049,001306,2020
"Census Tract 101.02, Santa Fe County, New Mexico",10,100,1,0,0,0,0,0,0,70,0,0,0,0,0,0,0,161,62,3,150,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,34,35,049,010102,2020
"Census Tract 102.04, Santa Fe County, New Mexico",0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,237,15,418,71,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,049,010204,2020
"Census Tract 102.05, Santa Fe County, New Mexico",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,50,6,94,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,049,010205,2020
"Census Tract 103.04, Santa Fe County, New Mexico",0,245,26,0,0,0,0,0,0,128,77,0,0,0,0,0,0,354,168,71,363,101,0,0,0,0,0,0,9,0,0,7,0,0,0,17,0,0,37,0,0,0,0,0,0,0,7,0,35,049,010304,2020
"Census Tract 103.08, Santa Fe County, New Mexico",6,8,28,0,0,0,0,0,0,70,149,0,0,0,0,0,0,108,82,0,76,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,35,049,010308,2020
"Census Tract 103.09, Santa Fe County, New Mexico",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,58,39,194,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,049,010309,2020
"Census Tract 103.10, Santa Fe County, New Mexico",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,13,12,155,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,049,010310,2020
"Census Tract 103.11, Santa Fe County, New Mexico",0,55,69,0,0,0,0,30,0,0,0,0,0,0,0,0,0,375,113,0,255,78,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,049,010311,2020
"Census Tract 103.12, Santa Fe County, New Mexico",0,65,0,14,10,0,0,0,0,35,0,0,0,0,0,0,0,164,73,0,181,79,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,18,0,35,049,010312,2020
"Census Tract 103.15, Santa Fe County, New Mexico",7,0,28,0,0,0,0,0,0,0,0,0,0,4,0,0,0,171,63,32,377,115,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,049,010315,2020
