NAME,B26001_001E,B02014_001E,B16005_007E,B16005_008E,B16005_012E,B16005_013E,B16005_017E,B16005_022E,B16005_023E,B16005_029E,B16005_030E,B16005_034E,B16005_035E,B16005_039E,B16005_040E,B16005_044E,B16005_045E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,state,county,tract,YEAR
"Census Tract 11.05, Santa Fe County, New Mexico",8,159,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,28,10,202,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,35,049,001105,2016
"Census Tract 101.02, Santa Fe County, New Mexico",6,90,13,43,0,0,0,0,0,8,94,0,0,0,0,0,0,181,71,16,194,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,70,35,049,010102,2016
"Census Tract 103.08, Santa Fe County, New Mexico",17,41,19,0,0,0,0,0,0,65,157,0,0,0,0,0,0,88,34,0,94,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,35,049,010308,2016
"Census Tract 107, Santa Fe County, New Mexico",35,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,117,69,680,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,35,049,010700,2016
"Census Tract 108, Santa Fe County, New Mexico",0,55,15,48,0,0,0,0,0,16,12,0,0,0,0,0,0,171,123,9,177,64,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,35,049,010800,2016
"Census Tract 5, Santa Fe County, New Mexico",20,2,57,8,0,0,0,0,0,0,0,0,0,0,0,0,0,231,106,60,255,109,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,27,0,0,0,0,0,0,0,0,0,0,35,049,000500,2016
"Census Tract 12.03, Santa Fe County, New Mexico",0,84,50,36,0,0,0,0,0,184,245,0,0,0,0,0,0,79,11,10,61,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,35,049,001203,2016
"Census Tract 105, Santa Fe County, New Mexico",0,8,21,0,0,0,0,0,0,5,0,0,0,0,0,0,0,273,66,24,246,80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,049,010500,2016
"Census Tract 40.01, Bernalillo County, New Mexico",104,17,77,0,0,0,0,0,0,451,573,0,0,0,0,0,0,149,49,45,134,54,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,7,35,001,004001,2016
"Census Tract 47.23, Bernalillo County, New Mexico",0,23,45,0,0,0,0,0,0,0,0,16,0,0,0,0,0,249,155,12,214,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,001,004723,2016
"Census Tract 1.08, Bernalillo County, New Mexico",50,365,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,100,84,16,130,126,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,35,001,000108,2016
"Census Tract 1.10, Bernalillo County, New Mexico",0,173,25,0,0,0,0,0,0,0,67,0,0,0,0,0,0,175,60,35,116,106,0,7,0,8,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,001,000110,2016
"Census Tract 1.25, Bernalillo County, New Mexico",0,25,0,0,0,0,13,0,0,0,0,13,0,39,0,0,0,205,121,25,225,203,23,0,0,7,7,0,12,0,0,0,0,0,10,12,0,14,0,0,0,0,0,0,0,0,9,0,35,001,000125,2016
"Census Tract 22, Bernalillo County, New Mexico",0,168,0,7,0,0,0,9,0,34,21,0,0,0,0,0,0,171,104,10,169,57,0,0,0,0,0,0,13,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,001,002200,2016
