NAME,B26001_001E,B02014_001E,B16005_007E,B16005_008E,B16005_012E,B16005_013E,B16005_017E,B16005_022E,B16005_023E,B16005_029E,B16005_030E,B16005_034E,B16005_035E,B16005_039E,B16005_040E,B16005_044E,B16005_045E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,state,county,tract,YEAR
"Census Tract 9783.02, Socorro County, New Mexico",404,60,5,0,0,0,0,0,0,2,46,0,0,0,42,0,0,152,22,35,83,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,35,053,978302,2015
"Census Tract 9782, Socorro County, New Mexico",0,117,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,101,53,9,104,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,053,978200,2015
"Census Tract 3, Roosevelt County, New Mexico",964,64,0,0,0,0,0,0,0,61,0,0,0,0,8,0,0,111,32,36,181,37,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,041,000300,2015
"Census Tract 2, Roosevelt County, New Mexico",114,83,46,103,0,0,0,0,0,200,74,0,0,0,0,0,0,48,43,24,62,63,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,35,041,000200,2015
"Census Tract 1, Roosevelt County, New Mexico",12,89,13,0,0,0,0,0,0,64,0,0,0,0,0,0,0,153,66,51,112,136,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,35,041,000100,2015
"Census Tract 2, Los Alamos County, New Mexico",2,51,66,103,0,0,0,0,0,0,0,0,9,72,0,0,0,102,73,45,221,56,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,35,028,000200,2015
"Census Tract 1, Los Alamos County, New Mexico",0,26,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,140,191,39,130,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,35,028,000100,2015
"Census Tract 4, Los Alamos County, New Mexico",109,21,12,0,0,0,0,0,0,9,44,0,0,10,0,0,0,139,81,42,111,57,0,0,0,0,0,0,8,0,0,0,0,0,22,0,0,10,0,0,0,0,0,0,0,0,11,0,35,028,000400,2015
"Census Tract 5, Los Alamos County, New Mexico",0,92,28,0,0,0,0,0,0,0,22,0,0,0,0,0,0,415,87,23,255,162,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,33,35,028,000500,2015
"Census Tract 3, Rio Arriba County, New Mexico",16,0,2,0,0,0,0,0,0,76,58,0,0,0,0,0,0,257,156,0,255,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,039,000300,2015
"Census Tract 4, Rio Arriba County, New Mexico",11,71,14,121,0,0,0,0,0,28,0,0,0,0,0,0,0,281,70,10,170,117,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,18,35,039,000400,2015
"Census Tract 9408, Rio Arriba County, New Mexico",0,1252,29,3,0,0,0,0,0,14,5,0,0,0,0,0,0,140,60,9,154,55,0,0,0,0,0,0,24,19,10,44,30,8,0,0,0,0,0,0,0,0,0,0,0,0,41,14,35,039,940800,2015
"Census Tract 2, Rio Arriba County, New Mexico",5,40,8,0,0,0,0,0,0,76,137,0,0,0,0,0,0,87,92,9,179,103,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,35,039,000200,2015
"Census Tract 9407, Rio Arriba County, New Mexico",85,49,33,10,0,0,0,0,0,72,86,0,0,0,0,0,0,85,23,12,86,84,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,24,35,039,940700,2015
"Census Tract 1, Rio Arriba County, New Mexico",5,115,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,12,0,49,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,35,039,000100,2015
"Census Tract 5, Rio Arriba County, New Mexico",181,222,42,0,0,0,0,0,0,11,4,0,0,0,0,0,0,266,127,36,285,119,0,0,0,0,0,0,0,0,0,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,35,039,000500,2015
"Census Tract 6, Luna County, New Mexico",325,13,48,6,0,0,0,0,0,151,233,0,0,0,0,0,0,81,26,14,136,62,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,35,029,000600,2015
"Census Tract 3, Luna County, New Mexico",57,23,6,0,0,0,0,0,0,60,40,0,0,0,0,0,0,80,108,32,79,183,0,0,0,7,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,35,029,000300,2015
"Census Tract 2, Luna County, New Mexico",0,90,94,0,0,0,0,9,0,188,264,0,0,0,0,9,25,180,153,40,175,214,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,14,0,35,029,000200,2015
"Census Tract 4, Luna County, New Mexico",5,13,88,5,0,0,0,0,0,197,480,0,0,0,0,0,0,378,227,13,405,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,029,000400,2015
"Census Tract 9453, McKinley County, New Mexico",65,1448,12,0,0,0,0,88,26,96,140,0,0,0,0,0,0,47,22,0,118,22,0,0,0,0,0,0,0,32,0,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,35,031,945300,2015
"Census Tract 9454, McKinley County, New Mexico",4,273,79,0,0,0,0,30,0,0,0,84,0,0,0,0,0,78,17,7,55,12,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,49,0,35,031,945400,2015
"Census Tract 9455, McKinley County, New Mexico",69,1151,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,96,41,250,145,0,16,0,0,12,0,42,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,35,031,945500,2015
"Census Tract 9460, McKinley County, New Mexico",0,4543,0,0,0,0,0,141,51,0,0,0,0,0,0,0,0,56,8,5,57,24,0,0,0,0,0,0,115,64,6,207,80,26,0,0,0,0,0,0,0,0,0,0,0,0,2,21,35,031,946000,2015
"Census Tract 9437, McKinley County, New Mexico",60,3851,0,0,0,0,0,94,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,59,13,137,71,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,031,943700,2015
"Census Tract 9457, McKinley County, New Mexico",0,1970,0,0,0,0,0,18,27,0,0,0,0,0,0,0,0,6,15,0,4,11,0,0,0,0,0,0,60,14,0,49,34,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,031,945700,2015
"Census Tract 9403, McKinley County, New Mexico",22,9275,0,0,0,0,0,408,21,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,95,35,77,325,146,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,031,940300,2015
"Census Tract 9436, McKinley County, New Mexico",0,5517,0,0,0,0,0,191,83,0,0,0,0,0,0,0,0,2,0,0,17,4,0,0,0,0,0,0,104,88,18,196,104,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,031,943600,2015
"Census Tract 9452, McKinley County, New Mexico",72,2858,0,0,0,0,0,6,7,148,86,0,0,0,0,0,0,0,16,0,30,48,0,0,0,13,27,0,79,22,0,45,67,5,0,0,0,0,0,0,0,0,0,0,0,0,9,40,35,031,945200,2015
"Census Tract 9456, McKinley County, New Mexico",250,3190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,34,44,11,19,0,0,0,0,0,0,58,0,0,17,49,12,10,0,0,0,0,0,0,0,0,4,0,0,8,0,35,031,945600,2015
"Census Tract 9435, McKinley County, New Mexico",132,3511,0,0,0,0,0,79,36,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,75,59,8,126,60,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,031,943500,2015
